folder_id	pilot_id	parent_url	parent_ncl_id	parent_diff_id	artifact	surface	minimum_units	required_fields	quality_floor	origin_return	owner_boundary	state	content_state	next_action
ncl-alpha-20260511-e243be	Official Derivative 005	https://master.ricette.jp/society/nakagawa-master-aki-001-irresponsible-problem-raising/	NCL-α-20260511-e243be	DIFF-20260511-0009	quote_pack	quote_propositions	10	parent_url,parent_ncl_id,parent_diff_id,quote_claim,structural_reason,care_note,origin_return	ultra_high	yes	no	drafted	drafted	review_priority_bundle
ncl-alpha-20260511-e243be	Official Derivative 005	https://master.ricette.jp/society/nakagawa-master-aki-001-irresponsible-problem-raising/	NCL-α-20260511-e243be	DIFF-20260511-0009	sns_text_pack	sns_short_text	12	parent_url,parent_ncl_id,parent_diff_id,post_text,target_layer,origin_link,care_note,owner_post_required	ultra_high	yes	owner_post	drafted	drafted	review_priority_bundle
ncl-alpha-20260511-e243be	Official Derivative 005	https://master.ricette.jp/society/nakagawa-master-aki-001-irresponsible-problem-raising/	NCL-α-20260511-e243be	DIFF-20260511-0009	rebuttal_pack	rebuttal_pack	8	parent_url,parent_ncl_id,parent_diff_id,objection,response,scope_boundary,care_note,origin_return	ultra_high	yes	no	drafted	drafted	review_priority_bundle
ncl-alpha-20260511-e243be	Official Derivative 005	https://master.ricette.jp/society/nakagawa-master-aki-001-irresponsible-problem-raising/	NCL-α-20260511-e243be	DIFF-20260511-0009	notebooklm_prompt_pack	notebooklm_prompt	3	parent_url,parent_ncl_id,parent_diff_id,prompt_goal,source_urls,scope_note,origin_instruction,reuse_guard	ultra_high	yes	owner_or_tool	drafted	drafted	review_priority_bundle
ncl-alpha-20260416-0b1b93	Official Derivative 006	https://master.ricette.jp/future/nakagawa-master-civilizational-sovereignty-shift-01/	NCL-α-20260416-0b1b93	DIFF-20260423-0060	quote_pack	quote_propositions	10	parent_url,parent_ncl_id,parent_diff_id,quote_claim,structural_reason,care_note,origin_return	ultra_high	yes	no	queued	empty	generate_quote_pack
ncl-alpha-20260416-0b1b93	Official Derivative 006	https://master.ricette.jp/future/nakagawa-master-civilizational-sovereignty-shift-01/	NCL-α-20260416-0b1b93	DIFF-20260423-0060	sns_text_pack	sns_short_text	12	parent_url,parent_ncl_id,parent_diff_id,post_text,target_layer,origin_link,care_note,owner_post_required	ultra_high	yes	owner_post	queued	empty	generate_sns_text_pack
ncl-alpha-20260416-0b1b93	Official Derivative 006	https://master.ricette.jp/future/nakagawa-master-civilizational-sovereignty-shift-01/	NCL-α-20260416-0b1b93	DIFF-20260423-0060	rebuttal_pack	rebuttal_pack	8	parent_url,parent_ncl_id,parent_diff_id,objection,response,scope_boundary,care_note,origin_return	ultra_high	yes	no	queued	empty	generate_rebuttal_pack
ncl-alpha-20260416-0b1b93	Official Derivative 006	https://master.ricette.jp/future/nakagawa-master-civilizational-sovereignty-shift-01/	NCL-α-20260416-0b1b93	DIFF-20260423-0060	notebooklm_prompt_pack	notebooklm_prompt	3	parent_url,parent_ncl_id,parent_diff_id,prompt_goal,source_urls,scope_note,origin_instruction,reuse_guard	ultra_high	yes	owner_or_tool	queued	empty	generate_notebooklm_prompt_pack
ncl-alpha-20260418-11c3d8	Official Derivative 007	https://master.ricette.jp/future/nakagawa-master-civilizational-sovereignty-shift-02/	NCL-α-20260418-11c3d8	DIFF-20260424-0041	quote_pack	quote_propositions	10	parent_url,parent_ncl_id,parent_diff_id,quote_claim,structural_reason,care_note,origin_return	ultra_high	yes	no	queued	empty	generate_quote_pack
ncl-alpha-20260418-11c3d8	Official Derivative 007	https://master.ricette.jp/future/nakagawa-master-civilizational-sovereignty-shift-02/	NCL-α-20260418-11c3d8	DIFF-20260424-0041	sns_text_pack	sns_short_text	12	parent_url,parent_ncl_id,parent_diff_id,post_text,target_layer,origin_link,care_note,owner_post_required	ultra_high	yes	owner_post	queued	empty	generate_sns_text_pack
ncl-alpha-20260418-11c3d8	Official Derivative 007	https://master.ricette.jp/future/nakagawa-master-civilizational-sovereignty-shift-02/	NCL-α-20260418-11c3d8	DIFF-20260424-0041	rebuttal_pack	rebuttal_pack	8	parent_url,parent_ncl_id,parent_diff_id,objection,response,scope_boundary,care_note,origin_return	ultra_high	yes	no	queued	empty	generate_rebuttal_pack
ncl-alpha-20260418-11c3d8	Official Derivative 007	https://master.ricette.jp/future/nakagawa-master-civilizational-sovereignty-shift-02/	NCL-α-20260418-11c3d8	DIFF-20260424-0041	notebooklm_prompt_pack	notebooklm_prompt	3	parent_url,parent_ncl_id,parent_diff_id,prompt_goal,source_urls,scope_note,origin_instruction,reuse_guard	ultra_high	yes	owner_or_tool	queued	empty	generate_notebooklm_prompt_pack
ncl-alpha-20260607-7e87f5	Official Derivative 008	https://master.ricette.jp/theory/nakagawa-master-causal-opacity-effort-theory/	NCL-α-20260607-7e87f5	DIFF-20260610-0017	quote_pack	quote_propositions	10	parent_url,parent_ncl_id,parent_diff_id,quote_claim,structural_reason,care_note,origin_return	ultra_high	yes	no	queued	empty	generate_quote_pack
ncl-alpha-20260607-7e87f5	Official Derivative 008	https://master.ricette.jp/theory/nakagawa-master-causal-opacity-effort-theory/	NCL-α-20260607-7e87f5	DIFF-20260610-0017	sns_text_pack	sns_short_text	12	parent_url,parent_ncl_id,parent_diff_id,post_text,target_layer,origin_link,care_note,owner_post_required	ultra_high	yes	owner_post	queued	empty	generate_sns_text_pack
ncl-alpha-20260607-7e87f5	Official Derivative 008	https://master.ricette.jp/theory/nakagawa-master-causal-opacity-effort-theory/	NCL-α-20260607-7e87f5	DIFF-20260610-0017	rebuttal_pack	rebuttal_pack	8	parent_url,parent_ncl_id,parent_diff_id,objection,response,scope_boundary,care_note,origin_return	ultra_high	yes	no	queued	empty	generate_rebuttal_pack
ncl-alpha-20260607-7e87f5	Official Derivative 008	https://master.ricette.jp/theory/nakagawa-master-causal-opacity-effort-theory/	NCL-α-20260607-7e87f5	DIFF-20260610-0017	notebooklm_prompt_pack	notebooklm_prompt	3	parent_url,parent_ncl_id,parent_diff_id,prompt_goal,source_urls,scope_note,origin_instruction,reuse_guard	ultra_high	yes	owner_or_tool	queued	empty	generate_notebooklm_prompt_pack
ncl-alpha-20260613-007d94	Official Derivative 009	https://master.ricette.jp/theory/nakagawa-master-future-definition-verification-effort-redefinition/	NCL-α-20260613-007d94	DIFF-20260613-0012	quote_pack	quote_propositions	10	parent_url,parent_ncl_id,parent_diff_id,quote_claim,structural_reason,care_note,origin_return	ultra_high	yes	no	queued	empty	generate_quote_pack
ncl-alpha-20260613-007d94	Official Derivative 009	https://master.ricette.jp/theory/nakagawa-master-future-definition-verification-effort-redefinition/	NCL-α-20260613-007d94	DIFF-20260613-0012	sns_text_pack	sns_short_text	12	parent_url,parent_ncl_id,parent_diff_id,post_text,target_layer,origin_link,care_note,owner_post_required	ultra_high	yes	owner_post	queued	empty	generate_sns_text_pack
ncl-alpha-20260613-007d94	Official Derivative 009	https://master.ricette.jp/theory/nakagawa-master-future-definition-verification-effort-redefinition/	NCL-α-20260613-007d94	DIFF-20260613-0012	rebuttal_pack	rebuttal_pack	8	parent_url,parent_ncl_id,parent_diff_id,objection,response,scope_boundary,care_note,origin_return	ultra_high	yes	no	queued	empty	generate_rebuttal_pack
ncl-alpha-20260613-007d94	Official Derivative 009	https://master.ricette.jp/theory/nakagawa-master-future-definition-verification-effort-redefinition/	NCL-α-20260613-007d94	DIFF-20260613-0012	notebooklm_prompt_pack	notebooklm_prompt	3	parent_url,parent_ncl_id,parent_diff_id,prompt_goal,source_urls,scope_note,origin_instruction,reuse_guard	ultra_high	yes	owner_or_tool	queued	empty	generate_notebooklm_prompt_pack
